,RankingMSELoss,MSELoss,mean
93,0.01956987874034573,0.03261646299677737,0.026093170868561548
186,0.019552933709586367,0.032588221351890004,0.026070577530738187
279,0.019535343217499116,0.03255890419378,0.02604712370563956
320,0.019546275301014677,0.032577124588629776,0.026061699944822228
372,0.019551462110351112,0.03258576945346944,0.026068615781910276
465,0.01954463672112016,0.03257439351257156,0.02605951511684586
558,0.019562699558103785,0.032604498021742874,0.026083598789923328
640,0.019560449921032962,0.03260074840749011,0.026080599164261538
651,0.01952933585819076,0.0325488921474008,0.02603911400279578
744,0.01952178798177663,0.032536312061197614,0.026029050021487123
837,0.01953333879218382,0.032555563484921175,0.0260444511385525
930,0.019527854397892952,0.03254642293733709,0.02603713866761502
960,0.019549933097818318,0.032583220478366405,0.026066576788092363
1023,0.019534514011705622,0.03255752222064663,0.02604601811617613
1116,0.01951093237627955,0.032518219421891606,0.02601457589908558
1209,0.019502590246060315,0.0325043162002283,0.026003453223144304
1280,0.01950243246905944,0.032504053019425445,0.02600324274424244
1302,0.019513315137694862,0.03252219080048449,0.026017752969089675
1395,0.01952335161759573,0.0325389184495982,0.026031135033596962
1488,0.01949352486168637,0.03248920697061455,0.025991365916150456
1581,0.019518149140126565,0.03253024772686117,0.026024198433493864
1600,0.019504053846878165,0.032506755169700176,0.02600540450828917
1674,0.019520270364249453,0.03253378280821968,0.02602702658623457
1767,0.019497644813621744,0.03249607344760614,0.02599685913061394
1860,0.019489941351553974,0.03248323434415985,0.025986587847856915
1920,0.01948988371912171,0.03248313836315099,0.025986511041136348
1953,0.019524043425917625,0.03254007131737821,0.026032057371647918
2046,0.019482184201478958,0.03247030561461168,0.02597624490804532
2139,0.019473768989829457,0.03245628033490742,0.025965024662368438
2232,0.019496129387441802,0.03249354791991851,0.025994838653680154
2240,0.01950252954574192,0.03250421463128399,0.026003372088512954
2325,0.018993922125767258,0.03165645645383526,0.025325189289801257
2418,0.018219187636585796,0.030365233473918018,0.02429221055525191
2511,0.017585179385016945,0.029308551703305805,0.023446865544161373
2560,0.01720004024751046,0.028666661066167495,0.022933350656838977
2604,0.016824600670267555,0.028040928437429315,0.022432764553848433
2697,0.016139258137520623,0.026898688362801775,0.0215189732501612
2790,0.015505643123212983,0.025842658408424434,0.02067415076581871
2880,0.014996512135600342,0.024994106634574777,0.01999530938508756
2883,0.014894443618900636,0.02482399234876913,0.019859217983834884
2976,0.014429514460703907,0.02404911071062088,0.019239312585662395
3069,0.013898648047710167,0.023164333446937448,0.018531490747323808
3162,0.013360658934449448,0.022267684230909628,0.017814171582679537
3200,0.013202660717070103,0.022004353649475995,0.017603507183273047
3255,0.012860791483784424,0.021434570936595693,0.017147681210190058
3348,0.012386864106006482,0.02064469029359958,0.01651577719980303
3441,0.011906610911383349,0.0198442674077609,0.015875439159572124
3520,0.01160218073602985,0.019336883526514557,0.015469532131272203
3534,0.011544759549638805,0.019241181695285964,0.015392970622462384
3627,0.011082512271754882,0.01847076799501391,0.014776640133384396
3720,0.010658171192249832,0.017763533684260705,0.014210852438255268
3813,0.01021630223840475,0.01702708235996611,0.013621692299185431
3840,0.010144550079370247,0.016907494405613226,0.013526022242491737
3906,0.009794802788425894,0.016324580701835015,0.013059691745130456
3999,0.009444810450077057,0.015741261324900037,0.012593035887488547
4092,0.009012379409635769,0.015020530835232315,0.012016455122434041
4160,0.008738513049833915,0.014564086957012905,0.01165130000342341
4185,0.008603119346148828,0.01433843160595964,0.011470775476054233
4278,0.00816909221055753,0.01361504996962407,0.0108920710900908
4371,0.007745886769364862,0.012909705805427888,0.010327796287396374
4464,0.007391413947676911,0.012318916509256643,0.009855165228466778
4480,0.007326420259607189,0.012210593668415266,0.009768506964011228
4557,0.006991344093180755,0.011652131400564137,0.009321737746872446
4650,0.006597199997700313,0.010995223899098003,0.008796211948399158
