,RankingMSELoss,MSELoss,mean
93,0.01955104191951892,0.032585068660623884,0.026068055290071404
186,0.019533719757900518,0.0325561985373497,0.02604495914762511
279,0.019530168460572466,0.03255027970846962,0.026040224084521044
320,0.019518946352250436,0.032531576121554655,0.026025261236902547
372,0.01952278263428632,0.03253796959624571,0.026030376115266016
465,0.01951756558435805,0.032529274878256464,0.026023420231307257
558,0.019529305398464203,0.03254884152727969,0.026039073462871945
640,0.019542702309349003,0.032571169383385605,0.026056935846367306
651,0.019506847924169374,0.03251141178257325,0.026009129853371313
744,0.019511766293469596,0.032519609174307657,0.026015687733888626
837,0.01952946525724495,0.03254910733769922,0.026039286297472083
930,0.019481861525598693,0.03246976763886564,0.025975814582232165
960,0.01951302763293771,0.0325217113337096,0.026017369483323657
1023,0.019502962884657523,0.032504937228034526,0.026003950056346023
1116,0.01950855870895526,0.03251426360186409,0.026011411155409676
1209,0.019492869320161203,0.032488114255316114,0.025990491787738657
1280,0.019488406422383645,0.032480676384533155,0.0259845414034584
1302,0.019483394044287065,0.03247232165406732,0.025977857849177194
1395,0.019496509147917524,0.032494180780999804,0.025995344964458662
1488,0.01948196572415969,0.03246994163183605,0.02597595367799787
1581,0.019494083107394332,0.03249013752621763,0.02599211031680598
1600,0.019487680538612252,0.03247946588432088,0.025983573211466566
1674,0.019474611781975803,0.032457684550215214,0.025966148166095507
1767,0.0194626625846414,0.03243776980568381,0.025950216195162606
1860,0.019060464466319364,0.03176743657711674,0.025413950521718052
1920,0.018699808155789095,0.031166342689710504,0.0249330754227498
1953,0.018370546619681752,0.03061757335329757,0.02449405998648966
2046,0.017813505933565253,0.029689172501949704,0.02375133921775748
2139,0.01714781386887326,0.028579688247512367,0.022863751058192813
2232,0.016493878382093766,0.027489795842591452,0.021991837112342608
2240,0.01647788067074383,0.02746313317295383,0.021970506921848827
2325,0.015868953100460416,0.02644825310391538,0.0211586031021879
2418,0.01528937742114067,0.025482294533182594,0.020385835977161634
2511,0.01484466897433295,0.024741113843286738,0.019792891408809844
2560,0.014588588410440613,0.024314313140862128,0.01945145077565137
2604,0.014313026660067193,0.023855043684735018,0.019084035172401106
2697,0.013850144494105788,0.023083572440287647,0.018466858467196718
2790,0.013382953646428445,0.02230492146576152,0.017843937556094983
2880,0.013014909318264793,0.021691514507812613,0.017353211913038704
2883,0.01294580940157175,0.021576348253909278,0.017261078827740514
2976,0.012587297762579778,0.020978828563409692,0.016783063162994737
3069,0.012189174728358494,0.020315287525162977,0.016252231126760736
3162,0.011762416209368146,0.019604022888576284,0.015683219548972213
3200,0.011648179908447406,0.019413628998924706,0.015530904453686056
3255,0.011358438717091785,0.018930727177683043,0.015144582947387415
3348,0.010980949572780552,0.018301578348173815,0.014641263960477184
3441,0.010615637799834503,0.0176927220514592,0.01415417992564685
3520,0.010357480934437583,0.0172624617595883,0.01380997134701294
3534,0.010307674734469722,0.017179451882839203,0.013743563308654463
3627,0.009949953569208874,0.01658325006856638,0.013266601818887627
3720,0.009574078845188898,0.015956789474276936,0.012765434159732917
3813,0.009244127966025296,0.015406871378860054,0.012325499672442675
3840,0.009176494444117826,0.01529414880582515,0.012235321624971488
3906,0.008902412017478663,0.014837344450985683,0.011869878234232172
3999,0.00864421110600233,0.014407008941120961,0.011525610023561646
4092,0.0082984273595845,0.013830701984903392,0.011064564672243947
4160,0.008066589615362533,0.013444305561921176,0.010755447588641855
4185,0.00798280690522755,0.01330466804039829,0.01064373747281292
4278,0.007657190483501729,0.012761974433327423,0.010209582458414575
4371,0.007356952985419947,0.01226157700533376,0.009809264995376854
4464,0.007102041231358752,0.011836723479277948,0.00946938235531835
4480,0.007057120119604994,0.011761854676639332,0.009409487398122163
4557,0.006794182090636562,0.011323625167064807,0.009058903628850683
4650,0.006499514860265395,0.010832513299058466,0.00866601407966193
4743,0.006183047148892108,0.010305067031260799,0.008244057090076454
4800,0.006045411779161762,0.010075675049687134,0.008060543414424448
4836,0.005899893832119072,0.009833145503173856,0.007866519667646465
4929,0.005598665379426058,0.009331101003815146,0.007464883191620602
5022,0.005363679436199805,0.008939458824255887,0.007151569130227846
5115,0.005091952324351843,0.008486582651076949,0.0067892674877143965
5120,0.005106195889632492,0.008510321926544695,0.006808258908088593
5208,0.004815739223404843,0.00802622754674624,0.006420983385075542
5301,0.004563440212651211,0.007605727488065467,0.006084583850358339
5394,0.004297240938553039,0.007162063382565975,0.005729652160559507
5440,0.004202766371343066,0.007004606647088248,0.005603686509215657
5487,0.004053513752296567,0.006755846497767112,0.005404680125031839
5580,0.0037864710423437986,0.006310768671991194,0.0050486198571674966
5673,0.0035220032475669592,0.005869988817721605,0.004695996032644282
5760,0.0032962514909313004,0.005493736551964984,0.004394994021448142
5766,0.0032415331122191515,0.005402538870625636,0.004322035991422394
5859,0.0029858523733256493,0.0049764022559804074,0.0039811273146530286
5952,0.0027581899810363263,0.0045969644287491545,0.0036775772048927404
6045,0.002491678522132775,0.004152778084115947,0.003322228303124361
6080,0.002404388752492035,0.004007294993190204,0.0032058418728411198
6138,0.0022336652721552286,0.003722755498636295,0.0029782103853957615
6231,0.0019942425835110687,0.0033237173852017697,0.002658979984356419
6324,0.0017536086413790198,0.002922655233894201,0.0023381319376366105
6400,0.0016089825452688862,0.0026816119001630474,0.0021452972227159668
